File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_NDVI_doy2010049_aid0001,_500m_16_days_NDVI,aid0001,2010-02-18,3634.0,-0.1436,0.8238,"(-0.1436,0.8238)",0.413897,0.1449362,0.0210065,0.4965,0.749,0.4267,0.0832,0.328
MOD13A1_006__500m_16_days_NDVI_doy2010065_aid0001,_500m_16_days_NDVI,aid0001,2010-03-06,3670.0,-0.1508,0.786,"(-0.1508,0.786)",0.4140015,0.1359677,0.0184872,0.4967,0.7493,0.42895,0.0682,0.3249
MOD13A1_006__500m_16_days_NDVI_doy2010081_aid0001,_500m_16_days_NDVI,aid0001,2010-03-22,3653.0,-0.1627,0.7131,"(-0.1627,0.7131)",0.3268506,0.1329349,0.0176717,0.4117,0.6599,0.3278,0.0037,0.2423
MOD13A1_006__500m_16_days_NDVI_doy2010097_aid0001,_500m_16_days_NDVI,aid0001,2010-04-07,3663.0,-0.1914,0.7591,"(-0.1914,0.7591)",0.4437913,0.1344978,0.0180897,0.5354,0.7591,0.4631,0.1346,0.3741
MOD13A1_006__500m_16_days_NDVI_doy2010113_aid0001,_500m_16_days_NDVI,aid0001,2010-04-23,3645.0,-0.1934,0.8256,"(-0.1934,0.8256)",0.4968279,0.1531103,0.0234428,0.601,0.8256,0.5179,0.1378,0.4149
MOD13A1_006__500m_16_days_NDVI_doy2010129_aid0001,_500m_16_days_NDVI,aid0001,2010-05-09,3619.0,-0.1686,0.8447,"(-0.1686,0.8447)",0.4851952,0.1498189,0.0224457,0.5888,0.8447,0.5001,0.133,0.4061
MOD13A1_006__500m_16_days_NDVI_doy2010145_aid0001,_500m_16_days_NDVI,aid0001,2010-05-25,3621.0,-0.1759,0.8456,"(-0.1759,0.8456)",0.5045691,0.1762082,0.0310493,0.6353,0.8456,0.5255,0.1007,0.4202
MOD13A1_006__500m_16_days_NDVI_doy2010353_aid0001,_500m_16_days_NDVI,aid0001,2010-12-19,3613.0,-0.1158,0.9554,"(-0.1158,0.9554)",0.4544994,0.1827276,0.0333894,0.5803,0.9093,0.4585,-0.0068,0.3401
MOD13A1_006__500m_16_days_NDVI_doy2011001_aid0001,_500m_16_days_NDVI,aid0001,2011-01-01,3642.0,-0.1877,0.9058,"(-0.1877,0.9058)",0.4590967,0.1659775,0.0275485,0.5647,0.8376,0.4782,0.0643,0.36355
MOD13A1_006__500m_16_days_NDVI_doy2011017_aid0001,_500m_16_days_NDVI,aid0001,2011-01-17,3701.0,-0.1683,0.8493,"(-0.1683,0.8493)",0.4275424,0.1658707,0.0275131,0.5363,0.8172,0.446,0.0378,0.3369
