File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_EVI_doy2016145_aid0001,_500m_16_days_EVI,aid0001,2016-05-24,1617.0,0.0307,0.6981,"(0.0307,0.6981)",0.3105871,0.1656269,0.0274323,0.444,0.6981,0.287,0.0307,0.1519
MOD13A1_006__500m_16_days_EVI_doy2016353_aid0001,_500m_16_days_EVI,aid0001,2016-12-18,1617.0,-0.0036,0.4655,"(-0.0036,0.4655)",0.2135254,0.1089567,0.0118716,0.3056,0.4655,0.2135,-0.0036,0.1081
MOD13A1_006__500m_16_days_EVI_doy2017001_aid0001,_500m_16_days_EVI,aid0001,2017-01-01,1617.0,-0.0058,0.5186,"(-0.0058,0.5186)",0.2265336,0.1318909,0.0173952,0.3375,0.5186,0.2388,-0.0058,0.1016
MOD13A1_006__500m_16_days_EVI_doy2017017_aid0001,_500m_16_days_EVI,aid0001,2017-01-17,1617.0,0.0309,0.4349,"(0.0309,0.4349)",0.2103908,0.1081358,0.0116934,0.3096,0.4349,0.2175,0.0309,0.1034
MOD13A1_006__500m_16_days_EVI_doy2017033_aid0001,_500m_16_days_EVI,aid0001,2017-02-02,1617.0,0.009,0.431,"(0.009,0.431)",0.1855479,0.087877,0.0077224,0.2597,0.431,0.2073,0.009,0.1026
MOD13A1_006__500m_16_days_EVI_doy2017049_aid0001,_500m_16_days_EVI,aid0001,2017-02-18,1617.0,0.0287,0.5316,"(0.0287,0.5316)",0.194778,0.0888015,0.0078857,0.2648,0.4497,0.2154,0.0287,0.1074
MOD13A1_006__500m_16_days_EVI_doy2017065_aid0001,_500m_16_days_EVI,aid0001,2017-03-06,1617.0,0.009,0.504,"(0.009,0.504)",0.2425968,0.1319586,0.0174131,0.3785,0.504,0.242,0.009,0.1135
MOD13A1_006__500m_16_days_EVI_doy2017081_aid0001,_500m_16_days_EVI,aid0001,2017-03-22,1617.0,0.0443,0.4838,"(0.0443,0.4838)",0.2342517,0.1082846,0.0117256,0.3345,0.4838,0.2531,0.0443,0.1256
MOD13A1_006__500m_16_days_EVI_doy2017097_aid0001,_500m_16_days_EVI,aid0001,2017-04-07,1617.0,0.0537,0.4624,"(0.0537,0.4624)",0.2201935,0.0980614,0.009616,0.2837,0.4624,0.2384,0.0537,0.128
MOD13A1_006__500m_16_days_EVI_doy2017113_aid0001,_500m_16_days_EVI,aid0001,2017-04-23,1617.0,0.0424,0.5193,"(0.0424,0.5193)",0.2627129,0.1161686,0.0134951,0.3634,0.5193,0.2777,0.0424,0.1506
MOD13A1_006__500m_16_days_EVI_doy2017129_aid0001,_500m_16_days_EVI,aid0001,2017-05-09,1617.0,0.0651,0.6562,"(0.0651,0.6562)",0.3489793,0.1742211,0.030353,0.5172,0.6562,0.3709,0.0651,0.174
MOD13A1_006__500m_16_days_EVI_doy2017145_aid0001,_500m_16_days_EVI,aid0001,2017-05-25,1617.0,0.0279,0.7146,"(0.0279,0.7146)",0.3910233,0.2025823,0.0410396,0.5919,0.7146,0.4079,0.0279,0.1827
MOD13A1_006__500m_16_days_EVI_doy2017353_aid0001,_500m_16_days_EVI,aid0001,2017-12-19,1617.0,0.0128,0.5089,"(0.0128,0.5089)",0.2226887,0.1279241,0.0163646,0.3274,0.5089,0.2295,0.0128,0.1009
MOD13A1_006__500m_16_days_EVI_doy2018001_aid0001,_500m_16_days_EVI,aid0001,2018-01-01,1617.0,0.009,0.4929,"(0.009,0.4929)",0.2069392,0.1097077,0.0120358,0.3024,0.4929,0.2144,0.009,0.1016
MOD13A1_006__500m_16_days_EVI_doy2018017_aid0001,_500m_16_days_EVI,aid0001,2018-01-17,1617.0,0.0175,0.566,"(0.0175,0.566)",0.2356305,0.1482555,0.0219797,0.3578,0.566,0.2185,0.0175,0.0989
MOD13A1_006__500m_16_days_EVI_doy2018033_aid0001,_500m_16_days_EVI,aid0001,2018-02-02,1617.0,0.0271,0.4631,"(0.0271,0.4631)",0.2152829,0.1150035,0.0132258,0.3159,0.4631,0.2313,0.0271,0.0982
MOD13A1_006__500m_16_days_EVI_doy2018049_aid0001,_500m_16_days_EVI,aid0001,2018-02-18,1617.0,0.0238,0.5044,"(0.0238,0.5044)",0.2218269,0.1189006,0.0141374,0.3215,0.5044,0.2385,0.0238,0.1032
MOD13A1_006__500m_16_days_EVI_doy2018065_aid0001,_500m_16_days_EVI,aid0001,2018-03-06,1617.0,0.045,0.5066,"(0.045,0.5066)",0.2550914,0.1282015,0.0164356,0.3642,0.5066,0.2761,0.045,0.1238
MOD13A1_006__500m_16_days_EVI_doy2018081_aid0001,_500m_16_days_EVI,aid0001,2018-03-22,1617.0,0.055,0.4665,"(0.055,0.4665)",0.2455025,0.1188271,0.0141199,0.3638,0.4665,0.2377,0.055,0.1245
MOD13A1_006__500m_16_days_EVI_doy2018097_aid0001,_500m_16_days_EVI,aid0001,2018-04-07,1617.0,0.0596,0.5007,"(0.0596,0.5007)",0.2817406,0.1343974,0.0180627,0.4109,0.5007,0.3029,0.0596,0.1402
MOD13A1_006__500m_16_days_EVI_doy2018113_aid0001,_500m_16_days_EVI,aid0001,2018-04-23,1617.0,0.0723,0.5233,"(0.0723,0.5233)",0.3078881,0.1409036,0.0198538,0.4407,0.5233,0.3449,0.0723,0.1607
MOD13A1_006__500m_16_days_EVI_doy2018129_aid0001,_500m_16_days_EVI,aid0001,2018-05-09,1617.0,0.0461,0.6754,"(0.0461,0.6754)",0.3592641,0.1627519,0.0264882,0.5033,0.6754,0.3899,0.0461,0.1993
MOD13A1_006__500m_16_days_EVI_doy2018145_aid0001,_500m_16_days_EVI,aid0001,2018-05-25,1617.0,0.0482,0.7265,"(0.0482,0.7265)",0.3742522,0.1998481,0.0399393,0.5948,0.7265,0.3563,0.0482,0.1775
MOD13A1_006__500m_16_days_EVI_doy2018353_aid0001,_500m_16_days_EVI,aid0001,2018-12-19,1617.0,0.0221,0.5163,"(0.0221,0.5163)",0.2344209,0.1228147,0.0150835,0.345,0.5163,0.2354,0.0221,0.1175
MOD13A1_006__500m_16_days_EVI_doy2019001_aid0001,_500m_16_days_EVI,aid0001,2019-01-01,1617.0,0.0191,0.5004,"(0.0191,0.5004)",0.2164009,0.1104873,0.0122074,0.3,0.5004,0.2241,0.0191,0.1099
MOD13A1_006__500m_16_days_EVI_doy2019017_aid0001,_500m_16_days_EVI,aid0001,2019-01-17,1617.0,0.011,0.4957,"(0.011,0.4957)",0.1990365,0.0969836,0.0094058,0.2718,0.4957,0.216,0.011,0.1087
MOD13A1_006__500m_16_days_EVI_doy2019033_aid0001,_500m_16_days_EVI,aid0001,2019-02-02,1617.0,0.0345,0.5342,"(0.0345,0.5342)",0.242672,0.1260036,0.0158769,0.3521,0.5342,0.2533,0.0345,0.1192
MOD13A1_006__500m_16_days_EVI_doy2019049_aid0001,_500m_16_days_EVI,aid0001,2019-02-18,1617.0,0.0007,0.4362,"(0.0007,0.4362)",0.1755851,0.0864465,0.007473,0.2506,0.4362,0.1999,0.0007,0.0904
MOD13A1_006__500m_16_days_EVI_doy2019065_aid0001,_500m_16_days_EVI,aid0001,2019-03-06,1617.0,0.0268,0.4781,"(0.0268,0.4781)",0.2582374,0.1206786,0.0145633,0.3674,0.4781,0.2834,0.0268,0.1349
MOD13A1_006__500m_16_days_EVI_doy2019081_aid0001,_500m_16_days_EVI,aid0001,2019-03-22,1617.0,0.0283,0.3701,"(0.0283,0.3701)",0.1983003,0.0804183,0.0064671,0.2688,0.3701,0.2238,0.0283,0.1225
MOD13A1_006__500m_16_days_EVI_doy2019097_aid0001,_500m_16_days_EVI,aid0001,2019-04-07,1617.0,0.0211,0.453,"(0.0211,0.453)",0.2254763,0.0967584,0.0093622,0.3091,0.453,0.2507,0.0211,0.1303
MOD13A1_006__500m_16_days_EVI_doy2019113_aid0001,_500m_16_days_EVI,aid0001,2019-04-23,1617.0,0.0684,0.5079,"(0.0684,0.5079)",0.2839533,0.1207713,0.0145857,0.3937,0.5079,0.3107,0.0684,0.1635
MOD13A1_006__500m_16_days_EVI_doy2019129_aid0001,_500m_16_days_EVI,aid0001,2019-05-09,1617.0,0.0456,0.5906,"(0.0456,0.5906)",0.3134419,0.1471521,0.0216538,0.4499,0.5906,0.3485,0.0456,0.1612
MOD13A1_006__500m_16_days_EVI_doy2019145_aid0001,_500m_16_days_EVI,aid0001,2019-05-25,1617.0,0.0935,0.6995,"(0.0935,0.6995)",0.3919004,0.184729,0.0341248,0.5631,0.6995,0.4435,0.0935,0.1971
MOD13A1_006__500m_16_days_EVI_doy2019353_aid0001,_500m_16_days_EVI,aid0001,2019-12-19,1617.0,0.034,0.5031,"(0.034,0.5031)",0.234737,0.1219544,0.0148729,0.3391,0.5031,0.2445,0.034,0.1119
MOD13A1_006__500m_16_days_EVI_doy2020001_aid0001,_500m_16_days_EVI,aid0001,2020-01-01,1617.0,0.0214,0.5507,"(0.0214,0.5507)",0.242509,0.1364815,0.0186272,0.357,0.5507,0.2389,0.0214,0.1082
MOD13A1_006__500m_16_days_EVI_doy2020017_aid0001,_500m_16_days_EVI,aid0001,2020-01-17,1617.0,0.0084,0.424,"(0.0084,0.424)",0.2077004,0.1034819,0.0107085,0.2986,0.424,0.2154,0.0084,0.106
